COURSE,COURSE_DESCR_TYPE,EFFDT,DESCRLONG
"DIFF03","GI",1/1/1902,"DealDiffPeople: 3 Attitude

This course provides an overview of problems that arise from attitude issues in the workplace. After taking this course, you will be able to identify key causes of attitude problems in the workplace and outline polite, effective strategies for resolving them."
"CUSC04","GI",1/1/1902,"Customer Service:  4 Building 

This course provides users with an overview of creating a Customer Service department and hiring talented customer service people."
"2007","GI",7/1/2010,"Excel 2003 - Level II

Students will learn the skills and concepts necessary to create charts and to use the list-management capabilities of Excel 2003.
Objectives:
Create charts that graphically represent worksheet data.
Modify charts.
Customize chart formats.
Enhance worksheets and charts by using the drawing tools to add graphic objects.
Sort information in a list by using the ?Data, Sort? command.
Locate information quickly in a list that meets specified conditions by using the advanced filter feature."
"500","GI",11/24/2009,"Anger Management

Anger has many faces, from mild annoyance to a full blown rage. It is also a completely normal, usually healthy, human emotion that, when not expressed appropriately, can turn destructive and lead to problems on the job, at home and with your health. It can also make you feel as though you are at the mercy of an unpredictable and powerful emotion. This workshop will help you understand and control your anger before it controls you."
"2018","GI",7/1/2010,"Advanced WordPerfect

This 18-hour course is designed to introduce the personal computer  user to the advanced features of WordPerfect for Windows.  Participants will learn to merge documents, create envelopes, create mailing labels, and other special features such as desktop"
"HR300","GI",10/18/2004,"Recruiting and Staffing

The Recruiting and Staffing course will provide an overview of the recruiting process for the District. As part of this course, participants will learn how to recruit applicants and record them in an automated system. Activities include creating and approving job requisitions, recruiting internal and external applicants, filing vacant positions, soliciting applications, evaluating and ranking candidates, notifying candidates of applicant status, creating certificate of eligibles and maintaining historical files documenting the recruitment process."
"501","GI",7/27/2010,"Communicating Non-Defensively

Have you ever expressed an opinion that led others to become defensive or hostile, even though you didn?t mean it personally? Many people have reasons for believing they?re being attacked. Defensive behavior can lead to hurt feelings, arguments and hostilities and often affects a variety of relationships. The defensiveness chain that is created impairs communication and reduces productivity. This course covers five essential skills that promote a productive work environment. Employees will gain a clear understanding of why all people are naturally defensive, learn the symptoms and consequences of inappropriate defensiveness and learn how to disengage from a defensive position. Employees also will learn how to empathize with and disarm a defensive person, how to inquire and focus on the issues, how to non-defensively disclose their own needs and goals and depersonalize the issues.

Objectives
?	Learn how to express yourself openly and effectively.
?	Develop strategies for shifting away from defensive behavior.
?	Guide others toward better communication."
"900","GI",7/27/2010,"Critical Thinking for Supv.

This course deals with insights, processes, and application of self-examination and improvement, and will lead managers and supervisors to greater confidence, productivity, and mental alertness.  The modules will include the following:  The Supervisor's Role, What is Critical Thinking, The Need for Critical Thinking, Attributes of a Critical Thinker, Understanding Learning and Communication Styles, Full spectrum Critical Questioning and Evaluating Critical Thinking Skills."
"302","GI",11/17/2009,"Customer Service

High-quality customer service is critical for virtually every organization. This course provides the framework for outstanding customer service techniques and best practices. Participants will learn different methodologies, and acquire tools and tips to ensure that customers are impressed with the efficiency and timeliness of the service they receive and the level of professionalism with which service is provided. It is a valuable journey into attitudes and perceptions and a realistic look into the day-to-day workplace."
"2112","GI",7/2/2010,"Investigation Training

Handle by Jennifer Black"
"2118","GI",7/2/2010,"Mgmt Skills for Admin

As an administrative professional, your job already encompasses numerous managerial skills and responsibilities, including planning, scheduling, negotiating and delegating. This course will assist you in expanding your repertoire of managerial skills and abilities by providing tools and techniques to help you keep your supervisor and your team functioning with as little chaos and as much efficiency as possible by using planning, prioritizing, and follow through. In addition, participants will discover how to master communication skills to add to their credibility and influence within their department.
Objectives:
Learn how to handle conflict and discourse with agility and professionalism.
Learn advanced time management skills to control your time and workload.
Learn how to build a winning professional image.
Competencies: Dependability, Flexibility/Adaptability, Professionalism, Communication, Operations Planning and Evaluating"
"2149","GI",7/2/2010,"PeopleSoft for Classifier's

PeopleSoft Training for Classifier's"
"2131","GI",7/2/2010,"Powerpoint 2003

Students will learn the basic skills necessary to begin effectively creating presentations in Microsoft PowerPoint."
"2105","GI",7/2/2010,"PCs/Windows 95

This 12-hour course provides a working knowledge of the fundamental concepts and applications of personal computers.  Special features include: understanding and using personal computer  commands; creating and implementing command files; manipulating text"
"2129","GI",7/2/2010,"Outlook 2003

This course is designed to provide the fundamentals of Microsoft Outlook 2003, a desktop information management program. The program is designed to coordinate mail, appointments, events, meetings, tasks and contacts."
"REG084","GI",1/1/1902,"Hlth/Sfty: 62 TxicSubsCntrl 2

This course provides an overview of requirements of Toxic Substance Control Act, TSCA. The basic purpose of this regulation is to prevent the introduction into the US of chemicals which present an unreasonable risk of injury to health or the environment. Basic understanding of this complex regulation is provided in three course sections. This section covers TSCA Export and Import requirements for chemical materials. Procedures to follow for R&D synthesis of new materials or importation of test quantities of materials not on TSCA inventory are also discussed."
"REG104","GI",1/1/1902,"Hlth/Sfty: 9 Carbon Mono

Carbon monoxide poisoning is a silent risk that can be present in the workplace and in the home. This course will make workers more aware of the silent risks of carbon monoxide, describe symptoms of exposure, and give suggestions for safety measures to use to prevent carbon monoxide poisoning."
"REG167","GI",1/1/1902,"Hlth/Sfty: 24 Eyewash/Sfty 

This course will give the worker some basic information about hazards that require eyewashes and safety showers, and standards for such equipment recommended by OSHA and ANSI."
"REG137","GI",1/1/1902,"Hlth/Sfty: 37 Lightn Saftey

This course will inform workers about the physical characteristics of lightning, likely locations, and the results of lightning strikes and includes ways to reduce the chances of becoming a lightning victim."
"REG099","GI",1/1/1902,"Hlth/Sfty: 61 Trenching/Exac

The purpose of this course is to provide the learner with an overview of the key safety issues related to trenching and excavation."
"REG235","GI",1/1/1902,"Hlth/Sfty: 6 Boilers

This course is designed to increase the worker's awareness of maintenance and safety related to boilers."
"REG139","GI",1/1/1902,"Hlth/Sfty: 8 Cadmium

This course will inform workers about cadmium - including the characteristics, uses, hazards, and ways to reduce risks when working with this element."
"REG160","GI",1/1/1902,"Hlth/Sfty: 27 Formaldehyde

This course will introduce workers to OSHA's standard relating to formaldehyde and includes information about the uses and hazards of formaldehyde, symptoms of exposure and treatment, and safety precautions."
"REG115","GI",1/1/1902,"Hlth/Sfty: 30 IndoorAirQuality

The quality of the air in the workplace will affect the worker??A?A?s production and health. It is often difficult to assess the causes of poor indoor air quality, and management is often slow to recognize the effects of problem air on the workers. This course should increase the worker??A?A?s awareness of the issues surrounding indoor air quality."
"REG054","GI",1/1/1902,"Hlth/Sfty: 22 EPA Gnrator Insp

This course provides an overview of the inspection requirements for facilities that manage hazardous wastes.  The general inspection program requirements are identified, as well as the specific inspection requirements for emergency equipment, tanks, and containers.  The appropriate remedial actions are discussed and the recordkeeping requirements associated with inspections are identified."
"REG231","GI",1/1/1902,"Hlth/Sfty: 37 Pwr Ind Truck 2

This course is designed to increase the worker's understanding of basic inspection, maneuvering, and load handling when operating forklifts - including OSHA requirements and recommendations relating to their use."
"REG148","GI",1/1/1902,"Hlth/Sfty: 5 Securities

This course will inform workers about ethical conduct relating to trading stock and making deals that might violate SEC or antitrust act regulations - all issues that should be examined in a company's Code of Business Conduct."
"REG049","GI",1/1/1902,"Hlth/Sfty: 30HarrassDiscrimEmp

This course provides an overview of Harassment & Discrimination, classes legally protected from harassment & discrimination, Equal Employment Opportunity Commission regulations and federal statutes concerning harassment & discrimination in the workplace, and how to protect yourselves, your fellow employees and your employer from prohibited harassment & discrimination."
"PB175","GI",1/1/1902,"WrkplEnviron: 2 Diversity Effe

Diversity in the workplace goes way beyond race, sexism and gender. It's composed of a changing blend of attributes, behaviors and talents characterized by differences and similarities. During this program, you'll learn the meaning of diversity and what constitutes a diversity-mature individual. You'll also learn the steps to diversity effectiveness and how they can be applied."
"REG147","GI",1/1/1902,"Hlth/Sfty: 4 Property 

This course will inform workers about their responsibilities and rights relating to company property and certain work practices - all issues that should be examined in a company's Code of Business Conduct."
"REG061","GI",1/1/1902,"Hlth/Sfty: 11 DOT Placarding

This course provides an overview of the Department of Transportation placarding requirements for personnel managing hazardous materials.  The steps necessary to properly select a placard, including placarding exceptions are identified.  In addition, how a placard must be designed and displayed are discussed, as well as the placarding responsibilities for both shippers and carriers."
"REG057","GI",1/1/1902,"Hlth/Sfty:24EPA GnratorSbprtCC

This course provides an overview of the Subpart CC regulations (which regulates organic emissions from specific equipment at hazardous waste management facilities) and discusses how to properly identify materials subject to the regulations.  The specific requirements for containers, tanks, and control devices are identified as well as the inspection and monitoring requirements for this equipment.  The recordkeeping requirements for all Subpart CC regulated activities are also discussed."
"REG086","GI",1/1/1902,"Hlth/Sfty: 27 Field Hzd Pt1

This course provides an overview of field hazards at industrial work locations that workers can be exposed to. This two-part course covers hazard recognition, protection from hazards and good safety practices that help avoid accidents. This first half emphasizes good housekeeping practices and protection from slips, trips and falls."
"PB164","GI",1/1/1902,"WrkLifeBal: 4 SingleWrkParents

Are you an exhausted single working parent looking for tips on how to better cope with your extremely busy life? How to alleviate working parent's guilt? This program will help you learn how to deal with everyday difficult situations by presenting a series of questions and answers regarding a single working parent's lifestyle."
"MNGC03","GI",1/1/1902,"Managing Change:  3 Working wi

This course explains why some members of a team have a difficult time positively engaging in change situations, and what you, as a change leader, can do to help them through the change."
"MNGS06","GI",1/1/1902,"Mngt Skills Intr: 6 DealwPeopl

After taking this course, the learner will be able to help employees improve their performance and deal with organizational change. It also discusses how to handle cynics who are lowering employee morale and deal with worries about change directly."
"PB084","GI",1/1/1902,"Leading Teams(VD): 2 Succ Team

Welcome to Developing Successful Teams. Organizations today must constantly focus on transforming groups of individuals into high performance teams.  Often, the road to a successful team is filled with difficult obstacles that either slow or weaken their development.  During this program, you'll learn to identify the characteristics of a highly effective team, and be able to identify the four predictable stages of team development:  Forming, Storming, Norming and Performing. You will also learn the appropriate leadership behaviors needed for each of these stages."
"PB070","GI",1/1/1902,"Leadership (Videos): 13 Surfer

Successful companies and workers in the new economy understand the old rules of running a business no longer apply. Join Dr. Louis Patler, President of The B.I.T. Group, an international consulting company, as he discusses how the rules of surfing can help today's organizations ride the wave of non-stop change."
"PB074","GI",1/1/1902,"Leadership(Vd):18 Encourage

The climb to the top is arduous and long. People become exhausted, frustrated and disenchanted. They're often tempted to give up. Leaders encourage the heart by carrying on. During this program, you'll learn how to link rewards with performance and identify ways to provide recognition. You'll also learn how to celebrate accomplishments. In addition, you'll learn action steps you can take to celebrate accomplishments. Based on the best-selling book, The Leadership Challenge by James M. Kouzes and Barry Z. Posner."
"PB085","GI",1/1/1902,"Leading Teams(VD): 3 GeoDisper

An increasingly pervasive workplace reality is the amount of work that must be accomplished by geographically dispersed team members. Watch as Debra Dinnocenzo, president of ALLearnatives, discusses how remote teams must learn new ways to communicate, exchange information and use technology to help them accomplish their objectives."
"IVFC01","GI",1/1/1902,"InvesFndmtls: 1 Basics

This course explains to users how to get a general picture of their personal financial situations and begin the process of investing."
"IVFC02","GI",1/1/1902,"InvesFndmtls: 2 Organizing

This course  explains to users how to determine their financial situations and make plans for investment funds."
"IVFC03","GI",1/1/1902,"InvesFndmtls: 3 Stocks

This course explains how to choose and invest in stocks"
"PB061","GI",1/1/1902,"Leadership (Videos):  4 E-Busi

Finding the right e-business strategy can impact how effective a company will be in this next generation of electronic commerce. Watch as Dr. Ravi Kalakota, CEO of E-Business Strategies and author of E-Business 2.0, discusses what e-business really entails and how to create an effective e-business strategy."
"INNO04","GI",1/1/1902,"Innovation: Energy

This course explains the vital role that energy, not necessarily logic, plays in the innovation process."
"INSD04","GI",1/1/1902,"Instructional Design:  4 Plann

This course provides an introduction on developing instructional materials, instructional delivery methods, support and management of an instructional design group, as well as implementation decisions as they relate to various aspects of project planning."
"BIZM03","GI",1/1/1902,"Fnd Bus Mngt:Finance

This course provides an introduction to the language of finance. After taking this course, the learner wii be able to interpret financial reports and ask intelligent questions about financial matters."
"GRAM04","GI",1/1/1902,"Grammar:  4 Advanced Grammar

This course provides an overview of advanced grammar and how to use pronouns, adjectives, adverbs, special punctuation, and modifiers."
"GROU02","GI",1/1/1902,"GroupWise 5.5:  2 Creating and

This course teaches users how to create and address e-mail messages how to work with attachments and how to reply to and forward messages."
"GROU04","GI",1/1/1902,"GroupWise 5.5:  4 Calendar, Ta

This course teaches the user how to use the scheduling, task, and note features to better organize and keep track of appointments and assignments."
"GROU05","GI",1/1/1902,"GroupWise 5.5:  5 Managing Doc

This course teaches the user how to create and use GroupWise library documents, shared folders, and discussions. This course also teaches how to create rules for organizing messages."
"HBBC01","GI",1/1/1902,"Home Business:  1 Choosing a B

This course provides an overview of the options in creating a new business from home, buying a franchise, buying an existing business, or joining a partnership."
"FL0406","GI",1/1/1902,"Flash MX 2004:  6 Adding Symbo

After taking this course, learners will be able to create interactive pages using movie clips, graphic symbols, and buttons in Flash MX 2004, allowing them to create more engaging, interactive animations."
"AS2001","GI",1/1/1902,"Flash MX 2004 ActionScript 2.0

This course provides an introduction to ActionScript 2.0 and the specifics of building classes."
"AS2002","GI",1/1/1902,"Flash MX 2004 ActionScript 2.0

This course provides a deeper understanding of what a property is and how properties are used within the context of objects. It explores the differences between ActionScript 2.0 functions and methods, methods that return datatypes, and creating methods within classes. In addition, it discusses using private and public attributes for methods and conserving resources through the use of static methods."
"MNGS04","GI",1/1/1902,"Mngt Skills Intr: 4 Communca

After taking this course, the learner will be able to level with their employees, deliver bad news, express themselves clearly, and ask questions that uncover employees' ideas and opinions."
"RSP008","GI",1/1/1902,"27 Hearing Protection (Proteccion de la Audicion)

Este curso da enfasis a la necesidad de la protecion de audicion apropiada en areas de ruido alto. Tipos de protecion de audicion, y cuando usarlos, como reconocer perdida de audicion, cuales son niveles de ruidos malos y la necesidad de los examenes rutinos de audicion son explicados."
"RSP009","GI",1/1/1902,"34 Office Ergonomics (Ergonomia en la Oficina)

Este curso provee una vista en general de los elementos basicos de la Ergonomia de la Oficina y tareas que pueden causar potencialmente Padecimientos Muscoloesqueleticos Relacionados con el Trabajo (PMRT)y otras lesiones a musculos y articulaciones."
"REG124","GI",1/1/1902,"Hlth/Sfty OSHA 10: 9 Sfty Prog

This course is part of the OSHA 10 General Industry Training series. The worker will learn about the major elements and effectiveness of safety and health programs in the workplace."
"RSP221","GI",1/1/1902,"19 Five Minute Safety - Truck Hijacking Prevention

This course provides a quick review of the importance of security measures to prevent truck hijacking."
"RSP213","GI",1/1/1902,"10 Five Minute Safety - Hurry Up Can Hurt

This course provides a quick review of the importance of taking your time to act safely in the workplace."
"RSP211","GI",1/1/1902,"11 Five Minute Safety - Ladder Safety

This course provides a quick review of important safety tips for using ladders."
"REG030","GI",1/1/1902,"Hlth/Sfty: 8 Driver Safety

This course provides an overview of driving safely and is useful whether you are driving to/from work or on/off company business. Topics discussed are road, traffic, vehicle, lighting, weather and driver conditions and why you must monitor these constantly in order to reach your destination safely."
"REG040","GI",1/1/1902,"Hlth/Sfty: 13 Indus Hygiene

This course provides an overview of Industrial hygiene as it relates to workplace hazards. Basic elements of an effective Industrial hygiene program such as health hazard evaluation, recognition, control, and employee education are covered. Emphasis is placed on recognition, evaluation, and control of factors that reduce or eliminate potentially harmful workplace exposures."
"REG123","GI",1/1/1902,"Hlth/Sfty OSHA 10: 4 Flam Liqu

This course is part of the OSHA Ten General Industry Training series. The worker will learn about identification, hazard avoidance, and control of flammable and combustible liquids."
"RSP022","GI",1/1/1902,"1 Five Minute Safety - AED Facts

The course provides a quick review of the importance of AEDs in the workplace."
"REG210","GI",1/1/1902,"Hlth/Sfty: 9 Frklift Load Hndl

This course provides a quick review of important safety tips for handling loads with forklifts."
"REG249","GI",1/1/1902,"Hlth/Sfty: 17 Protective Equip

Quick review of the importance of personal protective equipment in the workplace. Information comes from resources provided by the Occupational Safety and Health Administration (OSHA) or the Texas Division of Workers' Compensation, Workers' Health and Safety."
"REG238","GI",1/1/1902,"Hlth/Sfty: 24 Swine Flu

This course is designed to increase workers' awareness of the dangers of swine flu."
"REG221","GI",1/1/1902,"Hlth/Sfty: 26 Truck Hijacking

This course provides a quick review of the importance of security measures to prevent truck hijacking."
"REG006","GI",1/1/1902,"Hlth/Sfty: 12 Fall Protec

This course provides an overview of OSHA requirements for Fall Protection. The course explains situations when Fall Protection should be used, correct Fall Protection equipment for a situation, and proper use and inspection of the equipment."
"REG013","GI",1/1/1902,"Hlth/Sfty: 21 Hearing Proct

This course emphasizes necessity of proper hearing protection in high noise areas. Types of hearing protection and when to use, how to recognize hearing loss, what are harmful noise levels and need for routine hearing test are explained."
"REG014","GI",1/1/1902,"Hlth/Sfty: 24 Indoor Cranes

This course provides an overview of safe use of Indoor Cranes. Topics covered are pre-lift preparation and inspection, proper rigging and lifting of load."
"REG015","GI",1/1/1902,"Hlth/Sfty: 26 Ladders/Stair

This course provides an overview of ladders (both portable and fixed) and stairways. Ladder types, safe use, inspection/maintenance and housekeeping are discussed."
"REG005","GI",1/1/1902,"Hlth/Sfty: 30 Ofc Ergonomics

This course provides an overview of the basic elements of Office Ergonomics and tasks that can potentially cause Work-related Musculoskeletal Disorders (WMSD) and other injuries to the muscle and joints."
"REG017","GI",1/1/1902,"Hlth/Sfty: 31 Ofc Safety

This course provides an overview of some of the hazards one may encounter in a typical office. Hazards and Risks of Electricity, Office Machinery, Manual Handling and Ergonomics, Chemicals, Environmental factors such as Air and Noise, Housekeeping, Slips, Trips and Falls, Occupational Aggression and Violence, and Fire are discussed."
"REG201","GI",1/1/1902,"Hlth/Sfty: 46 Tuberculosis

This course will give the worker an introduction to basic facts about the prevention and treatment of tuberculosis."
"REG213","GI",1/1/1902,"Hlth/Sfty: 13 Hurry Up

This course provides a quick review of the importance of taking your time to act safely in the workplace."
"REG008","GI",1/1/1902,"Hlth/Sfty: 15 Frklift Sfty

This course provides an overview of safe use of forklifts. It discusses types of forklifts, its capacities and ratings, how to operate forklifts safely, and special instructions on operating forklifts on Loading Docks and Trailers."
"REG164","GI",1/1/1902,"Hlth/Sfty: 44 Pipelines Mgnt

This course informs the worker about the Pipeline and Hazardous Materials Safety Administration's (PHMSA) Rules on Pipeline Integrity Management in High Consequence Areas for Hazardous Liquid Operators (49 CFR Part 195)."
"REG174","GI",1/1/1902,"Hlth/Sfty: 49 ReactChemiProc

This course illustrates specific examples of runaway chemical reactions to reinforce the hazards of working with reactive chemicals."
"REG152","GI",1/1/1902,"Hlth/Sfty: 1 AED

This course will increase workers' awareness of the value of an automated external defibrillator (AED) used in the workplace."
"2083","GI",7/3/2010,"Improving Proj Mgmt

Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
"302","GI",11/18/2009,"Customer Service

This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
"2148","GI",7/3/2010,"PeopleSoft 9.0

This is a 1 day class.  Participants are required to attend training from 9am - 5:30pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
"401","GI",7/28/2010,"Mapping Career Path

This is a 3 hour class.  Participants are required to attend training from 1pm - 4pm.  Class begins promptly at 1pm.  Employees will not be allowed to attend training after 1:15pm.  Please dress in appropriate work attire, if you arrive after 1:15pm you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
"506","GI",7/28/2010,"Eff. Business Meetings

This is a 3 hour class.  Participants are required to attend training from 1pm - 4pm.  Class begins promptly at 1pm.  Employees will not be allowed to attend training after 1:15pm.  Please dress in appropriate work attire, if you arrive after 1:15pm you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
"604","GI",7/29/2010,"Peoplesoft e-Recruit

This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.                                                                                                               Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
"2106","GI",7/3/2010,"Personal Comp and Win XP

Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
"910","GI",7/29/2010,"Writing for the Professional

This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.                                                                                                               Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
"2158","GI",7/3/2010,"Position Mgmt: Techniques

Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
"800","GI",7/28/2010,"Introduction to Supervision

This is a 2 day class.  Participants are required to attend training from 9am - 4pm on both days.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
"2064","GI",7/3/2010,"High Impact Leadership

Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
"900","GI",7/28/2010,"Critical Thinking for Supv.

This is a 2 day class.  Participants are required to attend training from 9am - 4pm on both days.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
"903","GI",11/25/2009,"Management Dynamics

This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
"2058","GI",7/3/2010,"Language Lab

Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
"SH3005","GI",1/1/1902,"Compensation, Discrimination

The passage of the Ledbetter Act has opened the doors to increased wage discrimination litigation. In addition, OFCCP and EEOC are increasing their focus on compensation discrimination. In this session, we will take an in-depth look at the legislation, exploring what it will mean for employers with the end focus on the steps that HR professionals can take to proactively reduce the risk of future pay discrimination claims and stay out of the crosshairs of the government agencies."
"SH3007","GI",1/1/1902,"Form 5500

Now is the time to prepare for the changes to the filing of Form 5500?s. The Department of Labor (DOL) has mandated a change to the filing procedures for Form 5500. Effective for plan years beginning on or after January 1, 2009, the DOL requires employers to file Form 5500 annual reports for their health and welfare and retirement plans electronically. This is probably the biggest change that has occurred for Form 5500 since 1999. 

"
"SH2008","GI",1/1/1902,"HR Practices Strategic

Culture is your organization?s hidden asset. But what is culture and how do your harness its power? During this interactive session, discover innovative and practical tools to define your core culture and align it with your HR practices. Be strategic in how you hire, develop, manage performance and communicate so that you reinforce the culture of your company and position it for success."
"SH1018","GI",1/1/1902,"Strategies for Health Plans

Group health plan sponsors are facing reduced budgets and downturns in employment, at the same time program costs are continuing to rise. Many plans are also facing increased enrollment of dependents, more former employees and dependents electing COBRA coverage and increased patterns of delaying retirement in the current tough economic times. Now more than ever, plan sponsors need to identify strategies and alternative for better managing the health benefits their plans offer."
"SH6001","GI",1/1/1902,"HR Role Social Responsibility 

To move beyond that of a PR effort and to sustain long-term success it is critical that you position yourself at the decision table and participate by designing programs that leverage and engage employees through leadership, communication and relationships. This program will define CSR and provide insights on how to link HR as a vital leader in CSR efforts."
"SHX113","GI",1/1/1902,"Internet Recruiting 

The advent of myspace.com, the vault, personal web pages, blogs, Google searches and more are new tools that are heavily utilized by recruiters in our highly competitive environment. The use of these tools raises many questions such as how accurate is the data on the internet? Is the person googled actually the same person interviewed? This presentation will explore the impact these tools are having on both corporate and individual ethics as well a the affect on the candidate."
"SH8003","GI",1/1/1902,"Doing Business in Europe

In this session we will identify the 10 most important things that you need to know if you want to succeed in the very different environment that Europe presents. Understanding the essential differences between general business and workplace cultures in Europe and the U.S. is a key to success for the international HR practitioner. A determination to transfer all domestic U.S. business practices and policies to the international environment is a legitimate option, but one that is unlikely to be successful."
"SH2001","GI",1/1/1902,"Learning for Executives

How do you create an environment that makes executives want to learn? We?ll discuss your role in inspiring leaders to participate in development by understanding what keeps them up at night about their job through insight gained from a survey of 800 leaders. This session will discuss how to connect development with business outcomes, how to use assessment data to create meaningful development and introduce highly engaging learning opportunities for executives."
"SH1007","GI",1/1/1902,"Retiree Medical Liabilities

Several large U.S. corporations have agreed to fund voluntary employees? beneficiary associations (VEBAs) to manage retiree medical liabilities. These VEBA implementations have occurred in connection with both collective bargaining negotiations and bankruptcy proceedings. This course will review developments regarding VEBAs, with emphasis on the practical implications for employers and VEBA trustees. This course will also address tax and ERISA requirements applicable to VEBAs, pros and cons of using VEBAs to manage retiree medical liabilities and recent case law addressing employer/union agreements to resolve retiree medical litigation with VEBAs."
"SH1010","GI",1/1/1902,"Stimulus Bill Changes HIPAA

The American Recovery and Reinvestment Act (The ?Act? also informally known as the ?Stimulus Bill?) contains surprising modifications to HIPAA?s Privacy and Security Rules. These changes will likely require every business associate agreement to be modified. The Act increases the penalties for various HIPAA violations and dramatically expands other remedial actions (such as increased federal government audits; the granting of attorney?s fees in some HIPAA-related lawsuits; and a method for individuals to recover penalties under HIPAA). The changes are significant to all covered entities but are most challenging for business associates who now face a host of new requirements."
"SH1013","GI",1/1/1902,"HIPAA Privacy and Security

Looking for a way to quickly train all your employees on HIPAA Privacy and Security? This course is designed so that each employee can receive the needed training in about 60 minutes. Note that business associates must also now comply directly with the new Privacy and Security rules to train their entire workforce on how to safeguard Protected Health Information (PHI). This course, combined with a review of your company ? specific HIPAA policies and procedures, will provide a basic level of training appropriate as a refresher for individuals in conjunction with employer-sponsored health plans as well as provide the needed business associate training."
"SH3006","GI",1/1/1902,"Prescription Drugs Are Priced

The settlement of the class action suit brought against First DataBank and others associated with the publishing of Average Whole Prices (AWP) for prescription drugs will bring about fundamental changes in the way prescription drugs are priced for Pharmacy Benefit Managers and Plan Sponsors."
"REG096","GI",1/1/1902,"Hlth/Sfty: 23 Orientation

This course provides an overview of the various elements of safety orientation, stressing the importance of simply ?knowing your area?.  Other areas covered are:  what to do in case of a fire or chemical spill, fire extinguisher operation, safety around radiation sources, personal protective equipment and good work practices."
"REG047","GI",1/1/1902,"Hlth/Sfty: 27 Welding, Cutting

This course provides an overview of hazards associated with commonly used industrial task of welding, cutting and brazing and protection from these hazards. Personal protective equipment and other miscellaneous safety precautions are discussed."
"REG131","GI",1/1/1902,"Hlth/Sfty OSHA 10: 7 Machine

This course is part of the OSHA 10 General Industry Training series. The worker will be given an overview of specific examples of types of machine guards and the basic OSHA requirements for machine guarding."
"RSP208","GI",1/1/1902,"12 Five Minute Safety - Lifting Safely

This course provides a quick review of important guidelines for lifting heavy items safely."
"RSP212","GI",1/1/1902,"13 Five Minute Safety - Personal Fall Protection

This course provides a quick review of important safety tips for using personal fall protection equipment."
"REG226","GI",1/1/1902,"Hlth/Sfty: 22 Responsibilies

This course is the first in a series dealing with the competency of supervisors in the workplace relating to their safety training responsibilities."
